Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
FLDR,3293,100,61.64,100,41.22,49.74,2993,300
SMIN,3292,100,65.86,14,53.00,53.13,3292,0
FJAN,3248,100,42.87,100,24.93,33.19,3248,0
OGIG,3239,100,35.20,30,29.00,29.33,3084,155
RULE,3202,200,30.39,200,10.14,20.09,3202,0
XTJL,3135,200,36.43,200,12.15,24.03,3135,0
QTJL,3009,100,28.98,200,10.95,21.54,3009,0
BFEB,2959,200,46.51,200,15.51,30.56,2959,0
ADFI,2898,200,12.93,200,4.32,8.62,2898,0
JCPB,2896,200,60.55,200,36.33,48.30,2746,150
EMTL,2863,200,52.55,200,31.54,41.72,2863,0
FLQL,2819,1,46.00,100,31.24,41.81,2819,0
USEP,2800,100,34.13,100,19.86,26.56,2600,200
BSEP,2751,100,40.58,100,23.61,31.58,2751,0
HYIN,2728,100,29.71,48,20.70,20.75,2610,118
FLV,2725,100,73.32,100,46.23,59.17,2725,0
USMF,2599,100,49.83,5,38.57,38.77,2599,0
JPHY,2568,200,57.10,200,34.26,45.18,2568,0
IBHB,2559,200,36.01,200,12.01,24.05,2159,400
MRGR,2547,100,51.72,100,30.09,40.23,2547,0
IBHD,2542,200,34.23,200,11.41,22.79,2442,100
DMAR,2537,100,40.01,100,25.68,31.07,2537,0
PBEE,2510,100,31.51,100,15.31,22.69,2510,0
SVAL,2506,100,38.03,100,22.12,29.61,2106,400
QDEC,2504,100,28.56,100,13.87,20.55,2504,0
XSHQ,2504,200,53.55,200,17.86,34.81,2504,0
EYLD,2494,100,35.45,100,20.63,27.59,2494,0
FLQM,2494,200,65.66,100,32.09,42.94,2494,0
TDV,2481,100,73.74,100,46.50,59.45,2431,50
TOKE,2466,200,12.06,2,7.85,7.91,2466,0
FFTI,2427,200,32.00,100,17.56,21.27,2427,0
IBMP,2381,200,31.66,200,19.00,25.25,2381,0
STOT,2379,200,58.35,200,35.01,46.63,2379,0
HYHG,2321,100,72.88,100,48.09,58.86,2321,0
FCLD,2306,200,26.15,100,12.86,16.91,1656,650
XSHD,2304,200,30.43,100,13.96,19.82,2304,0
VFQY,2262,100,135.49,100,85.42,108.99,1862,400
GTIP,2253,100,61.21,100,43.30,52.26,2253,0
PSFF,2225,200,33.07,200,11.03,21.83,2225,0
IBMQ,2216,200,31.56,200,18.95,25.17,2216,0
DURA,2176,200,47.58,100,17.85,31.19,2176,0
PTNQ,2163,200,81.24,100,42.60,53.21,2063,100
PAPR,2148,100,36.61,100,21.30,28.45,2148,0
UJUN,2134,100,35.59,100,20.71,27.76,2134,0
ATMP,2120,200,29.19,200,9.74,19.36,820,1300
IBHC,2110,100,29.27,100,15.82,23.50,2110,0
VOTE,2093,100,61.80,100,35.95,48.10,2093,0
IBMM,2092,200,32.34,100,21.39,25.86,2092,0
EPRF,2082,100,28.66,100,13.63,20.21,2082,0
TMFC,2027,100,42.63,1,35.71,35.85,1686,341
DFNL,2021,100,35.17,100,20.46,27.32,2021,0
FSEP,2013,200,51.03,100,25.30,33.81,2013,0
BBRE,2008,100,111.56,100,77.00,94.22,1858,150
YJUN,2000,100,24.75,100,12.03,17.79,1000,1000
SMB,1956,200,21.13,100,13.99,16.93,1956,0
NUMV,1931,200,51.24,200,17.08,33.39,1931,0
TYA,1925,200,22.63,200,13.59,17.94,1727,198
OMFS,1914,100,46.79,100,27.21,36.29,1755,159
BBIN,1881,100,61.91,100,36.01,48.19,1881,0
HYMU,1873,200,27.96,200,16.79,22.37,1873,0
SEPZ,1852,200,46.17,200,15.40,30.68,1852,0
FOCT,1849,100,43.12,100,25.08,33.45,1849,0
WUGI,1849,200,63.21,200,21.08,40.89,1849,0
VCEB,1844,200,79.46,200,47.68,63.18,1844,0
EFNL,1819,100,44.91,1,34.50,34.89,1819,0
FPRO,1787,200,35.91,100,15.81,23.48,1787,0
BUFD,1774,200,30.42,200,10.14,20.07,1774,0
VFMF,1762,100,123.84,100,78.76,99.69,1762,0
FLBL,1756,200,30.13,200,18.09,23.98,1756,0
PTEU,1753,100,31.04,100,15.08,22.37,1753,0
GAA,1751,200,41.31,1,25.90,27.25,1751,0
